Daily Date,Data Value
27-Jan-89,
28-Jan-89,
29-Jan-89,
30-Jan-89,
31-Jan-89,
1-Feb-89,
2-Feb-89,
3-Feb-89,
4-Feb-89,
5-Feb-89,
6-Feb-89,
7-Feb-89,
8-Feb-89,
9-Feb-89,
10-Feb-89,
11-Feb-89,
12-Feb-89,
13-Feb-89,
14-Feb-89,
15-Feb-89,
16-Feb-89,
17-Feb-89,
18-Feb-89,
19-Feb-89,
20-Feb-89,
21-Feb-89,
22-Feb-89,
23-Feb-89,
24-Feb-89,
25-Feb-89,
26-Feb-89,
27-Feb-89,
28-Feb-89,
1-Mar-89,
2-Mar-89,
3-Mar-89,
4-Mar-89,
5-Mar-89,
6-Mar-89,
7-Mar-89,
8-Mar-89,
9-Mar-89,
10-Mar-89,
11-Mar-89,
12-Mar-89,
13-Mar-89,
14-Mar-89,
15-Mar-89,
16-Mar-89,
17-Mar-89,
18-Mar-89,
19-Mar-89,
20-Mar-89,
21-Mar-89,
22-Mar-89,
23-Mar-89,
24-Mar-89,
25-Mar-89,
26-Mar-89,
27-Mar-89,
28-Mar-89,
29-Mar-89,
30-Mar-89,
31-Mar-89,
1-Apr-89,
2-Apr-89,
3-Apr-89,
4-Apr-89,
5-Apr-89,
6-Apr-89,
7-Apr-89,
8-Apr-89,
9-Apr-89,
10-Apr-89,
11-Apr-89,
12-Apr-89,
13-Apr-89,
14-Apr-89,
15-Apr-89,
16-Apr-89,
17-Apr-89,
18-Apr-89,
19-Apr-89,
20-Apr-89,
21-Apr-89,
22-Apr-89,
23-Apr-89,
24-Apr-89,
25-Apr-89,
26-Apr-89,
27-Apr-89,
28-Apr-89,
29-Apr-89,
30-Apr-89,
1-May-89,
2-May-89,
3-May-89,
4-May-89,
5-May-89,
6-May-89,
7-May-89,
8-May-89,
9-May-89,
10-May-89,
11-May-89,
12-May-89,
13-May-89,
14-May-89,
15-May-89,
16-May-89,28.71
17-May-89,28.01
18-May-89,26.88
19-May-89,25.92
20-May-89,26.42
21-May-89,26.59
22-May-89,26.66
23-May-89,26.74
24-May-89,27.24
25-May-89,26.88
26-May-89,27.95
27-May-89,27.89
28-May-89,27.98
29-May-89,27.7
30-May-89,27.45
31-May-89,27.48
1-Jun-89,27.46
2-Jun-89,26.95
3-Jun-89,26.81
4-Jun-89,27.55
5-Jun-89,27.26
6-Jun-89,25.89
7-Jun-89,26.46
8-Jun-89,28.06
9-Jun-89,28.07
10-Jun-89,28.41
11-Jun-89,28.07
12-Jun-89,27.69
13-Jun-89,28.42
14-Jun-89,28.42
15-Jun-89,28.68
16-Jun-89,28.28
17-Jun-89,28.3
18-Jun-89,28.03
19-Jun-89,26.18
20-Jun-89,26.38
21-Jun-89,26.77
22-Jun-89,
23-Jun-89,
24-Jun-89,
25-Jun-89,
26-Jun-89,
27-Jun-89,
28-Jun-89,
29-Jun-89,
30-Jun-89,
1-Jul-89,
2-Jul-89,
3-Jul-89,
4-Jul-89,
5-Jul-89,
6-Jul-89,
7-Jul-89,
8-Jul-89,
9-Jul-89,
10-Jul-89,
11-Jul-89,
12-Jul-89,
13-Jul-89,
14-Jul-89,
15-Jul-89,
16-Jul-89,
17-Jul-89,
18-Jul-89,
19-Jul-89,
20-Jul-89,
21-Jul-89,
22-Jul-89,
23-Jul-89,
24-Jul-89,
25-Jul-89,
26-Jul-89,
27-Jul-89,
28-Jul-89,
29-Jul-89,
30-Jul-89,
31-Jul-89,
1-Aug-89,
2-Aug-89,
3-Aug-89,
4-Aug-89,
5-Aug-89,
6-Aug-89,
7-Aug-89,
8-Aug-89,
9-Aug-89,26.92
10-Aug-89,26.78
11-Aug-89,27.19
12-Aug-89,27.28
13-Aug-89,26.69
14-Aug-89,28.36
15-Aug-89,27.33
16-Aug-89,28.52
17-Aug-89,28.25
18-Aug-89,28.11
19-Aug-89,26.98
20-Aug-89,26.43
21-Aug-89,27.6
22-Aug-89,27.61
23-Aug-89,28.62
24-Aug-89,29.12
25-Aug-89,28.82
26-Aug-89,28.73
27-Aug-89,28.42
28-Aug-89,28.78
29-Aug-89,28.96
30-Aug-89,28.52
31-Aug-89,28.88
1-Sep-89,28.88
2-Sep-89,27.24
3-Sep-89,26.9
4-Sep-89,27.09
5-Sep-89,27.86
6-Sep-89,28.34
7-Sep-89,28.71
8-Sep-89,28.64
9-Sep-89,28.13
10-Sep-89,28.43
11-Sep-89,28.3
12-Sep-89,28.1
13-Sep-89,28.38
14-Sep-89,28.21
15-Sep-89,27.96
16-Sep-89,28.1
17-Sep-89,28.03
18-Sep-89,27.15
19-Sep-89,27.1
20-Sep-89,27.98
21-Sep-89,27.47
22-Sep-89,26.43
23-Sep-89,27.08
24-Sep-89,27.38
25-Sep-89,27.17
26-Sep-89,28.23
27-Sep-89,28.52
28-Sep-89,28.41
29-Sep-89,28.25
30-Sep-89,28.19
1-Oct-89,27.78
2-Oct-89,27.92
3-Oct-89,26.84
4-Oct-89,27.56
5-Oct-89,27.44
6-Oct-89,27.63
7-Oct-89,27.57
8-Oct-89,26.54
9-Oct-89,26.68
10-Oct-89,25.35
11-Oct-89,26.25
12-Oct-89,27.05
13-Oct-89,27.66
14-Oct-89,27.33
15-Oct-89,27.57
16-Oct-89,27.77
17-Oct-89,27.9
18-Oct-89,27.68
19-Oct-89,25.07
20-Oct-89,15.98
21-Oct-89,16.51
22-Oct-89,19.57
23-Oct-89,21.09
24-Oct-89,20.9
25-Oct-89,21.45
26-Oct-89,21.26
27-Oct-89,21.47
28-Oct-89,21.73
29-Oct-89,21.07
30-Oct-89,21.97
31-Oct-89,22.52
1-Nov-89,23.14
2-Nov-89,24.12
3-Nov-89,22.71
4-Nov-89,23.1
5-Nov-89,24.15
6-Nov-89,24.99
7-Nov-89,24.91
8-Nov-89,24.93
9-Nov-89,25.13
10-Nov-89,23.93
11-Nov-89,23.56
12-Nov-89,23.69
13-Nov-89,23.78
14-Nov-89,24.29
15-Nov-89,24.79
16-Nov-89,22.73
17-Nov-89,16.43
18-Nov-89,19.19
19-Nov-89,20.2
20-Nov-89,20.78
21-Nov-89,20.31
22-Nov-89,20.68
23-Nov-89,20.41
24-Nov-89,18.9
25-Nov-89,21.18
26-Nov-89,22.99
27-Nov-89,23.32
28-Nov-89,24.45
29-Nov-89,23.5
30-Nov-89,18.78
1-Dec-89,18.97
2-Dec-89,20.06
3-Dec-89,16.03
4-Dec-89,12.97
