Daily Date,Data Value
25-Apr-90,
26-Apr-90,
27-Apr-90,
28-Apr-90,
29-Apr-90,
30-Apr-90,
1-May-90,
2-May-90,26.48
3-May-90,25.91
4-May-90,25.67
5-May-90,25.65
6-May-90,24.23
7-May-90,24.43
8-May-90,24.99
9-May-90,25.4
10-May-90,24.9
11-May-90,26.03
12-May-90,26.88
13-May-90,26.89
14-May-90,27.05
15-May-90,27.11
16-May-90,27.48
17-May-90,27.86
18-May-90,27.41
19-May-90,27.34
20-May-90,26.2
21-May-90,25.99
22-May-90,25.6
23-May-90,24.06
24-May-90,24.79
25-May-90,25.33
26-May-90,25.22
27-May-90,26.52
28-May-90,27.5
29-May-90,26.03
30-May-90,27.35
31-May-90,27.41
1-Jun-90,27.97
2-Jun-90,27.81
3-Jun-90,27.34
4-Jun-90,28.1
5-Jun-90,27.81
6-Jun-90,27.6
7-Jun-90,26.86
8-Jun-90,27.79
9-Jun-90,28.15
10-Jun-90,27.26
11-Jun-90,27.35
12-Jun-90,26.52
13-Jun-90,26.2
14-Jun-90,26.79
15-Jun-90,27.06
16-Jun-90,27.45
17-Jun-90,27.9
18-Jun-90,27.45
19-Jun-90,28.68
20-Jun-90,28.24
21-Jun-90,28.07
22-Jun-90,27.35
23-Jun-90,26.64
24-Jun-90,27.32
25-Jun-90,26.21
26-Jun-90,25.69
27-Jun-90,27.4
28-Jun-90,28.17
29-Jun-90,28.19
30-Jun-90,27.81
1-Jul-90,26.54
2-Jul-90,26.39
3-Jul-90,27.37
4-Jul-90,28.1
5-Jul-90,27.59
6-Jul-90,27.53
7-Jul-90,28.88
8-Jul-90,28.75
9-Jul-90,28.83
10-Jul-90,28.61
11-Jul-90,28.35
12-Jul-90,26.71
13-Jul-90,26.5
14-Jul-90,27.11
15-Jul-90,27.18
16-Jul-90,28.08
17-Jul-90,26.16
18-Jul-90,27.95
19-Jul-90,28.31
20-Jul-90,28.08
21-Jul-90,
22-Jul-90,
23-Jul-90,
24-Jul-90,
25-Jul-90,
26-Jul-90,
27-Jul-90,
28-Jul-90,
29-Jul-90,29.32
30-Jul-90,29.02
31-Jul-90,29.66
1-Aug-90,29.27
2-Aug-90,29.55
3-Aug-90,28.71
4-Aug-90,28
5-Aug-90,28.31
6-Aug-90,28.72
