,Date,Rainfall_In,Rainfall_cm
0,1989-01-27,0.0,0.0
1,1989-01-28,0.0,0.0
2,1989-01-29,0.0,0.0
3,1989-01-30,0.0,0.0
4,1989-01-31,0.0,0.0
5,1989-02-01,0.0,0.0
6,1989-02-02,0.0,0.0
7,1989-02-03,0.0,0.0
8,1989-02-04,0.0,0.0
9,1989-02-05,0.0,0.0
10,1989-02-06,0.0,0.0
11,1989-02-07,0.0,0.0
12,1989-02-08,0.0,0.0
13,1989-02-09,0.0,0.0
14,1989-02-10,0.0,0.0
15,1989-02-11,0.0,0.0
16,1989-02-12,0.0,0.0
17,1989-02-13,0.0,0.0
18,1989-02-14,0.0,0.0
19,1989-02-15,0.0,0.0
20,1989-02-16,0.0,0.0
21,1989-02-17,0.0,0.0
22,1989-02-18,0.0,0.0
23,1989-02-19,0.0,0.0
24,1989-02-20,0.0,0.0
25,1989-02-21,0.0,0.0
26,1989-02-22,0.01,0.025400000000000002
27,1989-02-23,0.0,0.0
28,1989-02-24,0.0,0.0
29,1989-02-25,0.0,0.0
30,1989-02-26,0.0,0.0
31,1989-02-27,0.0,0.0
32,1989-02-28,0.75,1.905
33,1989-03-01,0.11,0.2794
34,1989-03-02,0.68,1.7272
35,1989-03-03,2.17,5.5118
36,1989-03-04,0.0,0.0
37,1989-03-05,0.0,0.0
38,1989-03-06,0.0,0.0
39,1989-03-07,0.53,1.3462
40,1989-03-08,0.02,0.050800000000000005
41,1989-03-09,0.0,0.0
42,1989-03-10,0.0,0.0
43,1989-03-11,0.0,0.0
44,1989-03-12,0.0,0.0
45,1989-03-13,0.0,0.0
46,1989-03-14,0.0,0.0
47,1989-03-15,0.0,0.0
48,1989-03-16,0.0,0.0
49,1989-03-17,0.0,0.0
50,1989-03-18,0.0,0.0
51,1989-03-19,0.0,0.0
52,1989-03-20,0.0,0.0
53,1989-03-21,0.0,0.0
54,1989-03-22,0.0,0.0
55,1989-03-23,0.0,0.0
56,1989-03-24,0.0,0.0
57,1989-03-25,0.0,0.0
58,1989-03-26,0.0,0.0
59,1989-03-27,0.0,0.0
60,1989-03-28,0.0,0.0
61,1989-03-29,0.0,0.0
62,1989-03-30,0.0,0.0
63,1989-03-31,0.02,0.050800000000000005
64,1989-04-01,0.0,0.0
65,1989-04-02,0.0,0.0
66,1989-04-03,0.0,0.0
67,1989-04-04,0.0,0.0
68,1989-04-05,0.05,0.127
69,1989-04-06,0.0,0.0
70,1989-04-07,0.0,0.0
71,1989-04-08,0.0,0.0
72,1989-04-09,0.0,0.0
73,1989-04-10,0.0,0.0
74,1989-04-11,0.06,0.1524
75,1989-04-12,0.0,0.0
76,1989-04-13,0.08,0.20320000000000002
77,1989-04-14,1.22,3.0987999999999998
78,1989-04-15,0.59,1.4986
79,1989-04-16,0.08,0.20320000000000002
80,1989-04-17,0.09,0.2286
81,1989-04-18,0.0,0.0
82,1989-04-19,0.06,0.1524
83,1989-04-20,1.11,2.8194000000000004
84,1989-04-21,,
85,1989-04-22,,
86,1989-04-23,,
87,1989-04-24,,
88,1989-04-25,,
89,1989-04-26,,
90,1989-04-27,,
91,1989-04-28,,
92,1989-04-29,,
93,1989-04-30,,
94,1989-05-01,,
95,1989-05-02,,
96,1989-05-03,,
97,1989-05-04,,
98,1989-05-05,,
99,1989-05-06,,
100,1989-05-07,,
101,1989-05-08,,
102,1989-05-09,,
103,1989-05-10,,
104,1989-05-11,,
105,1989-05-12,,
106,1989-05-13,,
107,1989-05-14,,
108,1989-05-15,,
109,1989-05-16,0.0,0.0
110,1989-05-17,0.0,0.0
111,1989-05-18,0.0,0.0
112,1989-05-19,0.0,0.0
113,1989-05-20,0.0,0.0
114,1989-05-21,0.06,0.1524
115,1989-05-22,0.0,0.0
116,1989-05-23,1.34,3.4036000000000004
117,1989-05-24,0.0,0.0
118,1989-05-25,0.0,0.0
119,1989-05-26,0.0,0.0
120,1989-05-27,0.0,0.0
121,1989-05-28,0.0,0.0
122,1989-05-29,0.0,0.0
123,1989-05-30,0.05,0.127
124,1989-05-31,0.0,0.0
125,1989-06-01,0.0,0.0
126,1989-06-02,0.0,0.0
127,1989-06-03,0.0,0.0
128,1989-06-04,0.0,0.0
129,1989-06-05,0.0,0.0
130,1989-06-06,1.24,3.1496
131,1989-06-07,0.01,0.025400000000000002
132,1989-06-08,0.0,0.0
133,1989-06-09,0.0,0.0
134,1989-06-10,0.0,0.0
135,1989-06-11,0.0,0.0
136,1989-06-12,0.0,0.0
137,1989-06-13,0.02,0.050800000000000005
138,1989-06-14,0.0,0.0
139,1989-06-15,0.0,0.0
140,1989-06-16,0.0,0.0
141,1989-06-17,0.0,0.0
142,1989-06-18,0.0,0.0
143,1989-06-19,0.04,0.10160000000000001
144,1989-06-20,1.48,3.7592
145,1989-06-21,0.0,0.0
146,1989-06-22,,
147,1989-06-23,,
148,1989-06-24,,
149,1989-06-25,,
150,1989-06-26,,
151,1989-06-27,,
152,1989-06-28,,
153,1989-06-29,,
154,1989-06-30,,
155,1989-07-01,,
156,1989-07-02,,
157,1989-07-03,,
158,1989-07-04,,
159,1989-07-05,,
160,1989-07-06,,
161,1989-07-07,,
162,1989-07-08,,
163,1989-07-09,,
164,1989-07-10,,
165,1989-07-11,,
166,1989-07-12,,
167,1989-07-13,,
168,1989-07-14,,
169,1989-07-15,,
170,1989-07-16,,
171,1989-07-17,,
172,1989-07-18,,
173,1989-07-19,,
174,1989-07-20,,
175,1989-07-21,,
176,1989-07-22,,
177,1989-07-23,,
178,1989-07-24,,
179,1989-07-25,,
180,1989-07-26,,
181,1989-07-27,,
182,1989-07-28,,
183,1989-07-29,,
184,1989-07-30,,
185,1989-07-31,,
186,1989-08-01,,
187,1989-08-02,,
188,1989-08-03,,
189,1989-08-04,,
190,1989-08-05,,
191,1989-08-06,,
192,1989-08-07,,
193,1989-08-08,,
194,1989-08-09,0.09,0.2286
195,1989-08-10,0.14,0.3556
196,1989-08-11,0.0,0.0
197,1989-08-12,0.09,0.2286
198,1989-08-13,0.22,0.5588
199,1989-08-14,0.0,0.0
200,1989-08-15,1.07,2.7178
201,1989-08-16,0.06,0.1524
202,1989-08-17,0.0,0.0
203,1989-08-18,0.66,1.6764000000000001
204,1989-08-19,0.06,0.1524
205,1989-08-20,0.0,0.0
206,1989-08-21,0.0,0.0
207,1989-08-22,0.34,0.8636
208,1989-08-23,0.0,0.0
209,1989-08-24,0.0,0.0
210,1989-08-25,0.0,0.0
211,1989-08-26,0.0,0.0
212,1989-08-27,0.0,0.0
213,1989-08-28,0.0,0.0
214,1989-08-29,0.0,0.0
215,1989-08-30,0.0,0.0
216,1989-08-31,0.0,0.0
217,1989-09-01,0.0,0.0
218,1989-09-02,0.06,0.1524
219,1989-09-03,1.78,4.5212
220,1989-09-04,0.08,0.20320000000000002
221,1989-09-05,0.18,0.4572
222,1989-09-06,0.0,0.0
223,1989-09-07,0.0,0.0
224,1989-09-08,0.0,0.0
225,1989-09-09,0.08,0.20320000000000002
226,1989-09-10,0.0,0.0
227,1989-09-11,0.0,0.0
228,1989-09-12,0.06,0.1524
229,1989-09-13,0.0,0.0
230,1989-09-14,0.0,0.0
231,1989-09-15,0.5,1.27
232,1989-09-16,0.0,0.0
233,1989-09-17,0.02,0.050800000000000005
234,1989-09-18,0.03,0.0762
235,1989-09-19,0.0,0.0
236,1989-09-20,0.0,0.0
237,1989-09-21,0.0,0.0
238,1989-09-22,0.59,1.4986
239,1989-09-23,0.06,0.1524
240,1989-09-24,1.37,3.4798000000000004
241,1989-09-25,0.0,0.0
242,1989-09-26,0.0,0.0
243,1989-09-27,0.0,0.0
244,1989-09-28,0.0,0.0
245,1989-09-29,0.0,0.0
246,1989-09-30,0.0,0.0
247,1989-10-01,0.0,0.0
