Daily Date,Data Value
25-Apr-90,12.63
26-Apr-90,12.61
27-Apr-90,12.83
28-Apr-90,13.04
29-Apr-90,13.41
30-Apr-90,13.66
1-May-90,13.65
2-May-90,13.62
3-May-90,13.74
4-May-90,10.36
5-May-90,9.86
6-May-90,16.71
7-May-90,15.77
8-May-90,13.64
9-May-90,13.7
10-May-90,14.82
11-May-90,11.98
12-May-90,8.29
13-May-90,7.51
14-May-90,10.19
15-May-90,11.3
16-May-90,9.08
17-May-90,9.12
18-May-90,9.69
19-May-90,11.56
20-May-90,10.12
21-May-90,10.95
22-May-90,7.73
23-May-90,9.71
24-May-90,15.26
25-May-90,14.42
26-May-90,11.46
27-May-90,8.06
28-May-90,13.59
29-May-90,8.22
30-May-90,8.19
31-May-90,7.93
1-Jun-90,8.8
2-Jun-90,6.08
3-Jun-90,7.99
4-Jun-90,7.14
5-Jun-90,7.54
6-Jun-90,8.9
7-Jun-90,9.55
8-Jun-90,11.31
9-Jun-90,9.21
10-Jun-90,10.27
11-Jun-90,13.51
12-Jun-90,14.63
13-Jun-90,10.11
14-Jun-90,7.69
15-Jun-90,9.45
16-Jun-90,9.7
17-Jun-90,7.45
18-Jun-90,7.92
19-Jun-90,8.62
20-Jun-90,8.16
21-Jun-90,5.82
22-Jun-90,10.32
23-Jun-90,9.92
24-Jun-90,6.62
25-Jun-90,10.04
26-Jun-90,6.64
27-Jun-90,6.7
28-Jun-90,9.16
29-Jun-90,7.02
30-Jun-90,8.2
1-Jul-90,12.23
2-Jul-90,9.29
3-Jul-90,6.95
4-Jul-90,5.97
5-Jul-90,9.13
6-Jul-90,7.27
7-Jul-90,8.61
8-Jul-90,8.89
9-Jul-90,8.97
10-Jul-90,10.39
11-Jul-90,9.84
12-Jul-90,10.31
13-Jul-90,13.06
14-Jul-90,9.25
15-Jul-90,9.15
16-Jul-90,13.34
17-Jul-90,11.71
18-Jul-90,11.35
19-Jul-90,11.89
20-Jul-90,8.67
21-Jul-90,
22-Jul-90,
23-Jul-90,
24-Jul-90,
25-Jul-90,
26-Jul-90,
27-Jul-90,
28-Jul-90,
29-Jul-90,6.52
30-Jul-90,5.8
31-Jul-90,8.39
1-Aug-90,7.03
2-Aug-90,7.1
3-Aug-90,8.01
4-Aug-90,5.31
5-Aug-90,6.17
6-Aug-90,6.13
7-Aug-90,6.4
8-Aug-90,5.96
9-Aug-90,8.16
10-Aug-90,6.49
11-Aug-90,7.15
12-Aug-90,8.81
13-Aug-90,9.11
14-Aug-90,8.85
15-Aug-90,8.51
16-Aug-90,7.27
17-Aug-90,4.37
18-Aug-90,6.1
19-Aug-90,6.48
20-Aug-90,7.85
21-Aug-90,6.34
22-Aug-90,6.09
23-Aug-90,8.01
24-Aug-90,8.94
25-Aug-90,6.06
26-Aug-90,5.53
27-Aug-90,4.88
28-Aug-90,4.72
29-Aug-90,6.33
30-Aug-90,5.81
31-Aug-90,5.5
1-Sep-90,7.92
2-Sep-90,10.69
3-Sep-90,10.55
4-Sep-90,12.13
5-Sep-90,11.09
6-Sep-90,9.61
7-Sep-90,5.91
8-Sep-90,7.65
9-Sep-90,7.55
10-Sep-90,9.65
11-Sep-90,11.23
12-Sep-90,11.04
13-Sep-90,11
14-Sep-90,7.43
15-Sep-90,7.03
16-Sep-90,6.38
17-Sep-90,6.79
18-Sep-90,8.9
19-Sep-90,14.9
20-Sep-90,10.38
21-Sep-90,6.84
22-Sep-90,5.74
23-Sep-90,9.44
24-Sep-90,15.46
25-Sep-90,10.39
26-Sep-90,5.49
27-Sep-90,7.29
28-Sep-90,13.04
29-Sep-90,11.37
30-Sep-90,6.63
1-Oct-90,6.54
2-Oct-90,10.26
3-Oct-90,10.42
4-Oct-90,9.13
5-Oct-90,10.95
6-Oct-90,12.93
7-Oct-90,14.85
8-Oct-90,15.62
9-Oct-90,16.78
10-Oct-90,19.26
11-Oct-90,16.26
12-Oct-90,7.26
13-Oct-90,6.66
14-Oct-90,6.44
15-Oct-90,6.95
16-Oct-90,12.31
17-Oct-90,11.31
18-Oct-90,6.73
19-Oct-90,8.08
20-Oct-90,7.4
21-Oct-90,11.53
22-Oct-90,11.58
23-Oct-90,6.43
24-Oct-90,9.12
25-Oct-90,18.42
26-Oct-90,16.01
27-Oct-90,16.71
28-Oct-90,14.88
29-Oct-90,14
30-Oct-90,12.17
31-Oct-90,10.96
1-Nov-90,9.45
2-Nov-90,12.56
3-Nov-90,10.25
4-Nov-90,9.72
5-Nov-90,7.96
6-Nov-90,4.85
7-Nov-90,4.4
8-Nov-90,8.86
9-Nov-90,14.81
10-Nov-90,19.03
11-Nov-90,17.49
12-Nov-90,15.52
13-Nov-90,7.58
14-Nov-90,12.08
15-Nov-90,12.03
16-Nov-90,9.44
17-Nov-90,11.2
18-Nov-90,15.21
19-Nov-90,9.24
20-Nov-90,6.53
21-Nov-90,8.49
22-Nov-90,7.06
23-Nov-90,3.88
24-Nov-90,6.48
25-Nov-90,5.06
26-Nov-90,6.55
27-Nov-90,9.21
28-Nov-90,7.49
29-Nov-90,7.77
30-Nov-90,23.19
1-Dec-90,13.72
2-Dec-90,11.08
3-Dec-90,9.12
4-Dec-90,6.35
5-Dec-90,17.8
6-Dec-90,8.9
7-Dec-90,6.17
8-Dec-90,15.03
9-Dec-90,18.22
10-Dec-90,12.05
11-Dec-90,7.07
12-Dec-90,5.33
13-Dec-90,6.27
14-Dec-90,7.98
15-Dec-90,5.15
16-Dec-90,6.16
17-Dec-90,4.66
18-Dec-90,6.18
19-Dec-90,5.19
20-Dec-90,6.12
21-Dec-90,8.51
22-Dec-90,8.22
23-Dec-90,6.04
24-Dec-90,6.67
25-Dec-90,14.17
26-Dec-90,10.12
27-Dec-90,12.63
28-Dec-90,9.03
29-Dec-90,8.69
30-Dec-90,8.51
31-Dec-90,5.04
1-Jan-91,6.9
2-Jan-91,8.23
3-Jan-91,10.15
4-Jan-91,10.22
5-Jan-91,10.15
6-Jan-91,8.82
7-Jan-91,8.77
8-Jan-91,6.42
9-Jan-91,14.98
10-Jan-91,14.31
11-Jan-91,12.1
12-Jan-91,16.27
13-Jan-91,14.53
14-Jan-91,11.18
15-Jan-91,11.47
16-Jan-91,9.38
17-Jan-91,13.47
18-Jan-91,12.38
19-Jan-91,10.56
20-Jan-91,10.8
21-Jan-91,13.57
22-Jan-91,12.73
23-Jan-91,6.83
24-Jan-91,9.04
25-Jan-91,11.08
26-Jan-91,10.82
27-Jan-91,8.83
28-Jan-91,8
29-Jan-91,5.97
30-Jan-91,6.2
31-Jan-91,7.12
1-Feb-91,14.95
2-Feb-91,9.83
3-Feb-91,14.75
4-Feb-91,13.89
5-Feb-91,10.53
6-Feb-91,10.01
7-Feb-91,4.95
8-Feb-91,
9-Feb-91,
10-Feb-91,
11-Feb-91,
12-Feb-91,
13-Feb-91,
14-Feb-91,
15-Feb-91,
16-Feb-91,
17-Feb-91,
18-Feb-91,
19-Feb-91,
20-Feb-91,
21-Feb-91,
22-Feb-91,
23-Feb-91,
24-Feb-91,
25-Feb-91,
26-Feb-91,
27-Feb-91,
28-Feb-91,
1-Mar-91,
2-Mar-91,
3-Mar-91,
4-Mar-91,
5-Mar-91,
6-Mar-91,
7-Mar-91,
8-Mar-91,
9-Mar-91,
10-Mar-91,
11-Mar-91,
12-Mar-91,
13-Mar-91,
14-Mar-91,
15-Mar-91,
16-Mar-91,
17-Mar-91,
18-Mar-91,
19-Mar-91,
20-Mar-91,
21-Mar-91,
22-Mar-91,
23-Mar-91,
24-Mar-91,
25-Mar-91,
26-Mar-91,
27-Mar-91,
28-Mar-91,
29-Mar-91,
30-Mar-91,
31-Mar-91,
1-Apr-91,
2-Apr-91,
3-Apr-91,
4-Apr-91,
5-Apr-91,
6-Apr-91,
7-Apr-91,
8-Apr-91,
9-Apr-91,
10-Apr-91,
11-Apr-91,
12-Apr-91,
13-Apr-91,
14-Apr-91,
15-Apr-91,9.62
16-Apr-91,8.63
17-Apr-91,9.86
18-Apr-91,7.84
19-Apr-91,7.99
20-Apr-91,8.66
21-Apr-91,16.19
22-Apr-91,8.45
23-Apr-91,11.71
24-Apr-91,8.95
25-Apr-91,7.59
26-Apr-91,8.04
27-Apr-91,9.65
28-Apr-91,10.68
29-Apr-91,13.55
30-Apr-91,12.44
1-May-91,9.46
2-May-91,8.29
3-May-91,11.41
4-May-91,10.96
5-May-91,12.04
6-May-91,11.18
7-May-91,12.32
8-May-91,14.62
9-May-91,13.93
10-May-91,12.98
11-May-91,11.77
12-May-91,10.41
13-May-91,8.62
14-May-91,9.44
15-May-91,8.97
16-May-91,7.58
17-May-91,7.24
18-May-91,8.62
19-May-91,13.44
20-May-91,15.21
21-May-91,18.99
22-May-91,18.53
23-May-91,10.35
24-May-91,10.67
25-May-91,11.09
26-May-91,11.06
27-May-91,14.47
28-May-91,12.64
29-May-91,8.16
30-May-91,7.47
31-May-91,5.52
1-Jun-91,4.23
2-Jun-91,5.93
3-Jun-91,12.84
4-Jun-91,14.44
5-Jun-91,12.12
6-Jun-91,10.24
7-Jun-91,7.53
8-Jun-91,14.52
9-Jun-91,16.14
10-Jun-91,15.24
11-Jun-91,12.98
12-Jun-91,10.11
13-Jun-91,8.04
14-Jun-91,7.71
15-Jun-91,8.32
16-Jun-91,7.38
17-Jun-91,8.67
18-Jun-91,6.37
19-Jun-91,5.66
20-Jun-91,5.88
21-Jun-91,6.38
22-Jun-91,5.71
23-Jun-91,8.52
24-Jun-91,6.24
25-Jun-91,4.78
26-Jun-91,4.72
27-Jun-91,5.32
28-Jun-91,5.32
29-Jun-91,7.75
30-Jun-91,8.84
1-Jul-91,12.34
2-Jul-91,11.62
3-Jul-91,9.75
4-Jul-91,7.26
5-Jul-91,5.63
6-Jul-91,6.83
7-Jul-91,6.37
8-Jul-91,6.37
9-Jul-91,5.92
10-Jul-91,7.4
11-Jul-91,8.76
12-Jul-91,7.57
13-Jul-91,7.99
14-Jul-91,7.6
15-Jul-91,10.23
16-Jul-91,9.59
17-Jul-91,9.4
18-Jul-91,9.02
19-Jul-91,
20-Jul-91,
21-Jul-91,
22-Jul-91,
23-Jul-91,
24-Jul-91,
25-Jul-91,
26-Jul-91,
27-Jul-91,
28-Jul-91,
29-Jul-91,
30-Jul-91,
31-Jul-91,
1-Aug-91,
2-Aug-91,
3-Aug-91,
4-Aug-91,
5-Aug-91,
6-Aug-91,
7-Aug-91,10.42
8-Aug-91,6.84
9-Aug-91,8.53
10-Aug-91,4.51
11-Aug-91,6.19
12-Aug-91,5.67
13-Aug-91,6.81
14-Aug-91,7.16
15-Aug-91,4.82
16-Aug-91,7.51
17-Aug-91,8.96
18-Aug-91,10.06
19-Aug-91,5.97
20-Aug-91,9.73
21-Aug-91,7.37
22-Aug-91,8.38
23-Aug-91,8.48
24-Aug-91,8.54
25-Aug-91,10.37
26-Aug-91,8
27-Aug-91,7.5
28-Aug-91,9.05
29-Aug-91,9.04
30-Aug-91,8.43
31-Aug-91,4.17
1-Sep-91,4.88
2-Sep-91,8.1
3-Sep-91,11.8
4-Sep-91,9.52
5-Sep-91,9.89
6-Sep-91,6.47
7-Sep-91,6.94
8-Sep-91,11.35
9-Sep-91,10.61
10-Sep-91,7.58
11-Sep-91,6.3
12-Sep-91,5.27
13-Sep-91,5.76
14-Sep-91,6.1
15-Sep-91,7.1
16-Sep-91,11.53
17-Sep-91,10.58
18-Sep-91,9.17
19-Sep-91,6.58
20-Sep-91,7.19
21-Sep-91,6.31
22-Sep-91,7.37
23-Sep-91,8.23
24-Sep-91,7.12
25-Sep-91,9.34
26-Sep-91,9.72
27-Sep-91,11.06
28-Sep-91,10.2
29-Sep-91,10.13
30-Sep-91,17.06
1-Oct-91,9.08
2-Oct-91,12.15
3-Oct-91,8.73
4-Oct-91,5.85
5-Oct-91,7.5
6-Oct-91,5.18
7-Oct-91,17.91
8-Oct-91,18.89
9-Oct-91,13.26
10-Oct-91,9.88
11-Oct-91,7.02
12-Oct-91,9.45
13-Oct-91,7.2
14-Oct-91,7.78
15-Oct-91,9.28
16-Oct-91,12.77
17-Oct-91,13.17
18-Oct-91,13.71
19-Oct-91,11.59
20-Oct-91,10.02
21-Oct-91,8.16
22-Oct-91,
23-Oct-91,
24-Oct-91,
25-Oct-91,
26-Oct-91,
27-Oct-91,
28-Oct-91,
29-Oct-91,
30-Oct-91,
31-Oct-91,
1-Nov-91,
2-Nov-91,
3-Nov-91,
4-Nov-91,
5-Nov-91,
6-Nov-91,
7-Nov-91,
8-Nov-91,
9-Nov-91,
10-Nov-91,
11-Nov-91,
12-Nov-91,
13-Nov-91,
14-Nov-91,
15-Nov-91,
16-Nov-91,
17-Nov-91,
18-Nov-91,
19-Nov-91,
20-Nov-91,
21-Nov-91,
22-Nov-91,
23-Nov-91,
24-Nov-91,
25-Nov-91,
26-Nov-91,
27-Nov-91,
28-Nov-91,
29-Nov-91,
30-Nov-91,
1-Dec-91,
2-Dec-91,
3-Dec-91,
4-Dec-91,
5-Dec-91,
6-Dec-91,
7-Dec-91,
8-Dec-91,
