Date,WNDS_0,WNDS_1,WNDS_2,WNDS_3,average_WNDS
1988-08-05,,8.26,,,8.26
1988-08-06,,7.62,,,7.62
1988-08-07,,9.03,,,9.03
1988-08-08,,5.97,,,5.97
1988-08-09,,7.97,,,7.97
1988-08-10,,8.85,,,8.85
1988-08-11,,9.04,,,9.04
1988-08-12,,13.64,,,13.64
1988-08-13,,9.48,,,9.48
1988-08-14,,10.27,,,10.27
1988-08-15,,10.4,,,10.4
1988-08-16,,7.88,,,7.88
1988-08-17,,6.1,,,6.1
1988-08-18,,6.01,,,6.01
1988-08-19,,10.52,,,10.52
1988-08-20,,12.19,,,12.19
1988-08-21,,9.94,,,9.94
1988-08-22,,7.67,,,7.67
1988-08-23,,7.04,,,7.04
1988-08-24,,9.16,,,9.16
1988-08-25,,6.52,,,6.52
1988-08-26,,8.25,,,8.25
1988-08-27,,11.32,,,11.32
1988-08-28,,9.44,,,9.44
1988-08-29,,8.28,,,8.28
1988-08-30,,8.4,,,8.4
1988-08-31,,10.42,,,10.42
1988-09-01,,13.22,,,13.22
1988-09-02,,12.88,,,12.88
1988-09-03,,11.97,,,11.97
1988-09-04,,14.0,,,14.0
1988-09-05,,20.09,,,20.09
1988-09-06,,19.35,,,19.35
1988-09-07,,11.21,,,11.21
1988-09-08,,13.57,,,13.57
1988-09-09,,,,,
1988-09-10,,,,,
1988-09-11,,,,,
1988-09-12,,,,,
1988-09-13,,,,,
1988-09-14,,,,,
1988-09-15,,,,,
1988-09-16,,,,,
1988-09-17,,,,,
1988-09-18,,,,,
1988-09-19,,,,,
1988-09-20,,,,,
1988-09-21,,,,,
1988-09-22,,,,,
1988-09-23,,,,,
1988-09-24,,,,,
1988-09-25,,,,,
1988-09-26,,,,,
1988-09-27,,,,,
1988-09-28,,,,,
1988-09-29,,,,,
1988-09-30,,,,,
1988-10-01,,,,,
1988-10-02,,,,,
1988-10-03,,,,,
1988-10-04,,,,,
1988-10-05,,,,,
1988-10-06,,,,,
1988-10-07,,,,,
1988-10-08,,,,,
1988-10-09,,,,,
1988-10-10,,,,,
1988-10-11,,,,,
1988-10-12,,,,,
1988-10-13,,,,,
1988-10-14,,,,,
1988-10-15,,,,,
1988-10-16,,,,,
1988-10-17,,,,,
1988-10-18,,,,,
1988-10-19,,,,,
1988-10-20,,,,,
1988-10-21,,,,,
1988-10-22,,,,,
1988-10-23,,,,,
1988-10-24,,,,,
1988-10-25,,,,,
1988-10-26,,9.51,,,9.51
1988-10-27,,9.01,,,9.01
