time,lat,lon,2t
1990-01-01,27.05,-81.1,293.7224
1990-01-01,26.8,-81.1,294.0029
1990-01-01,27.05,-80.85,293.91687
1990-01-01,26.8,-80.85,294.2178
1990-01-01,27.05,-80.6,294.26862
1990-01-01,26.8,-80.6,294.44504
1990-02-01,27.05,-81.1,295.10968
1990-02-01,26.8,-81.1,295.2574
1990-02-01,27.05,-80.85,294.95895
1990-02-01,26.8,-80.85,295.16635
1990-02-01,27.05,-80.6,295.1238
1990-02-01,26.8,-80.6,295.20813
1990-03-01,27.05,-81.1,295.1399
1990-03-01,26.8,-81.1,295.29846
1990-03-01,27.05,-80.85,295.12192
1990-03-01,26.8,-80.85,295.3368
1990-03-01,27.05,-80.6,295.25476
1990-03-01,26.8,-80.6,295.3922
1990-04-01,27.05,-81.1,296.10223
1990-04-01,26.8,-81.1,296.28665
1990-04-01,27.05,-80.85,295.93747
1990-04-01,26.8,-80.85,296.1667
1990-04-01,27.05,-80.6,296.0062
1990-04-01,26.8,-80.6,296.16473
1990-05-01,27.05,-81.1,300.04834
1990-05-01,26.8,-81.1,299.9314
1990-05-01,27.05,-80.85,299.30255
1990-05-01,26.8,-80.85,299.2937
1990-05-01,27.05,-80.6,299.17737
1990-05-01,26.8,-80.6,299.12073
1990-06-01,27.05,-81.1,300.97375
1990-06-01,26.8,-81.1,300.83704
1990-06-01,27.05,-80.85,300.6294
1990-06-01,26.8,-80.85,300.52054
1990-06-01,27.05,-80.6,300.67538
1990-06-01,26.8,-80.6,300.3921
1990-07-01,27.05,-81.1,300.97836
1990-07-01,26.8,-81.1,300.8938
1990-07-01,27.05,-80.85,300.9276
1990-07-01,26.8,-80.85,300.8712
1990-07-01,27.05,-80.6,301.0479
1990-07-01,26.8,-80.6,300.8251
1990-08-01,27.05,-81.1,300.99078
1990-08-01,26.8,-81.1,300.81552
1990-08-01,27.05,-80.85,301.0497
1990-08-01,26.8,-80.85,300.8863
1990-08-01,27.05,-80.6,300.99265
1990-08-01,26.8,-80.6,300.76642
1990-09-01,27.05,-81.1,300.93225
1990-09-01,26.8,-81.1,300.78046
1990-09-01,27.05,-80.85,300.99472
1990-09-01,26.8,-80.85,300.89853
1990-09-01,27.05,-80.6,300.96896
1990-09-01,26.8,-80.6,300.7853
1990-10-01,27.05,-81.1,298.8223
1990-10-01,26.8,-81.1,298.7995
1990-10-01,27.05,-80.85,298.89804
1990-10-01,26.8,-80.85,298.91794
1990-10-01,27.05,-80.6,298.9473
1990-10-01,26.8,-80.6,298.9402
1990-11-01,27.05,-81.1,295.2217
1990-11-01,26.8,-81.1,295.3395
1990-11-01,27.05,-80.85,295.6926
1990-11-01,26.8,-80.85,295.82056
1990-11-01,27.05,-80.6,295.78107
1990-11-01,26.8,-80.6,295.87677
1990-12-01,27.05,-81.1,293.6464
1990-12-01,26.8,-81.1,293.8119
1990-12-01,27.05,-80.85,294.25314
1990-12-01,26.8,-80.85,294.4011
1990-12-01,27.05,-80.6,294.4358
1990-12-01,26.8,-80.6,294.57446
1991-01-01,27.05,-81.1,293.50424
1991-01-01,26.8,-81.1,293.8728
1991-01-01,27.05,-80.85,293.89587
