time,lat,lon,fdir
1990-01-01,27.05,-81.1,8324907.0
1990-01-01,26.8,-81.1,8441555.0
1990-01-01,27.05,-80.85,8153051.0
1990-01-01,26.8,-80.85,8253331.0
1990-01-01,27.05,-80.6,8064331.0
1990-01-01,26.8,-80.6,8156707.0
1990-02-01,27.05,-81.1,10723375.0
1990-02-01,26.8,-81.1,10846663.0
1990-02-01,27.05,-80.85,10561143.0
1990-02-01,26.8,-80.85,10666559.0
1990-02-01,27.05,-80.6,10325599.0
1990-02-01,26.8,-80.6,10409655.0
1990-03-01,27.05,-81.1,13859170.0
1990-03-01,26.8,-81.1,13686114.0
1990-03-01,27.05,-80.85,13509634.0
1990-03-01,26.8,-80.85,13294338.0
1990-03-01,27.05,-80.6,13061602.0
1990-03-01,26.8,-80.6,12737122.0
1990-04-01,27.05,-81.1,15749761.0
1990-04-01,26.8,-81.1,15912337.0
1990-04-01,27.05,-80.85,15559697.0
1990-04-01,26.8,-80.85,15656785.0
1990-04-01,27.05,-80.6,15444369.0
1990-04-01,26.8,-80.6,15317793.0
1990-05-01,27.05,-81.1,14525613.0
1990-05-01,26.8,-81.1,14372581.0
1990-05-01,27.05,-80.85,14629605.0
1990-05-01,26.8,-80.85,14425517.0
1990-05-01,27.05,-80.6,14725733.0
1990-05-01,26.8,-80.6,14365229.0
1990-06-01,27.05,-81.1,16173337.0
1990-06-01,26.8,-81.1,15945049.0
1990-06-01,27.05,-80.85,16269553.0
1990-06-01,26.8,-80.85,15994377.0
1990-06-01,27.05,-80.6,16331689.0
1990-06-01,26.8,-80.6,16046377.0
1990-07-01,27.05,-81.1,14953362.0
1990-07-01,26.8,-81.1,15026170.0
1990-07-01,27.05,-80.85,15226338.0
1990-07-01,26.8,-80.85,15247850.0
1990-07-01,27.05,-80.6,15415066.0
1990-07-01,26.8,-80.6,15290834.0
1990-08-01,27.05,-81.1,14828981.0
1990-08-01,26.8,-81.1,14617765.0
1990-08-01,27.05,-80.85,14800325.0
1990-08-01,26.8,-80.85,14522501.0
1990-08-01,27.05,-80.6,14541349.0
1990-08-01,26.8,-80.6,14074901.0
1990-09-01,27.05,-81.1,13302972.0
1990-09-01,26.8,-81.1,13279828.0
1990-09-01,27.05,-80.85,13424772.0
1990-09-01,26.8,-80.85,13335644.0
1990-09-01,27.05,-80.6,13518532.0
1990-09-01,26.8,-80.6,13178220.0
1990-10-01,27.05,-81.1,11428423.0
1990-10-01,26.8,-81.1,11284119.0
1990-10-01,27.05,-80.85,11315831.0
1990-10-01,26.8,-80.85,11145095.0
1990-10-01,27.05,-80.6,11047591.0
1990-10-01,26.8,-80.6,10851239.0
1990-11-01,27.05,-81.1,9451266.0
1990-11-01,26.8,-81.1,9532850.0
1990-11-01,27.05,-80.85,9360786.0
1990-11-01,26.8,-80.85,9406826.0
1990-11-01,27.05,-80.6,9204714.0
1990-11-01,26.8,-80.6,9162914.0
1990-12-01,27.05,-81.1,8186738.0
1990-12-01,26.8,-81.1,8374674.0
1990-12-01,27.05,-80.85,7906898.0
1990-12-01,26.8,-80.85,8044562.0
1990-12-01,27.05,-80.6,7573474.0
1990-12-01,26.8,-80.6,7542722.0
1991-01-01,27.05,-81.1,8589020.0
1991-01-01,26.8,-81.1,8831616.0
1991-01-01,27.05,-80.85,8633240.0
1991-01-01,26.8,-80.85,8844812.0
1991-01-01,27.05,-80.6,8615888.0
1991-01-01,26.8,-80.6,8740516.0
1991-02-01,27.05,-81.1,10889430.0
1991-02-01,26.8,-81.1,11098134.0
1991-02-01,27.05,-80.85,10643158.0
1991-02-01,26.8,-80.85,10803766.0
1991-02-01,27.05,-80.6,10444886.0
1991-02-01,26.8,-80.6,10436934.0
1991-03-01,27.05,-81.1,12950386.0
1991-03-01,26.8,-81.1,13438178.0
1991-03-01,27.05,-80.85,12976586.0
1991-03-01,26.8,-80.85,13383298.0
1991-03-01,27.05,-80.6,13128034.0
1991-03-01,26.8,-80.6,13214818.0
1991-04-01,27.05,-81.1,15273545.0
1991-04-01,26.8,-81.1,15405001.0
1991-04-01,27.05,-80.85,15139569.0
1991-04-01,26.8,-80.85,15239737.0
1991-04-01,27.05,-80.6,15023017.0
1991-04-01,26.8,-80.6,15062977.0
1991-05-01,27.05,-81.1,14954759.0
1991-05-01,26.8,-81.1,14842351.0
1991-05-01,27.05,-80.85,14956295.0
1991-05-01,26.8,-80.85,14792263.0
1991-05-01,27.05,-80.6,14802391.0
1991-05-01,26.8,-80.6,14481103.0
1991-06-01,27.05,-81.1,15277122.0
1991-06-01,26.8,-81.1,15050402.0
1991-06-01,27.05,-80.85,15247858.0
1991-06-01,26.8,-80.85,14965378.0
1991-06-01,27.05,-80.6,14896802.0
1991-06-01,26.8,-80.6,14559026.0
1991-07-01,27.05,-81.1,14320898.0
1991-07-01,26.8,-81.1,14036466.0
1991-07-01,27.05,-80.85,14677714.0
1991-07-01,26.8,-80.85,14330162.0
1991-07-01,27.05,-80.6,14858338.0
1991-07-01,26.8,-80.6,14353090.0
1991-08-01,27.05,-81.1,15402964.0
1991-08-01,26.8,-81.1,15227244.0
1991-08-01,27.05,-80.85,15653532.0
1991-08-01,26.8,-80.85,15410484.0
1991-08-01,27.05,-80.6,15705396.0
1991-08-01,26.8,-80.6,15349692.0
1991-09-01,27.05,-81.1,12475865.0
1991-09-01,26.8,-81.1,12526745.0
1991-09-01,27.05,-80.85,12351713.0
1991-09-01,26.8,-80.85,12340985.0
1991-09-01,27.05,-80.6,12276737.0
1991-09-01,26.8,-80.6,12028185.0
1991-10-01,27.05,-81.1,9295972.0
1991-10-01,26.8,-81.1,9169924.0
1991-10-01,27.05,-80.85,9144388.0
1991-10-01,26.8,-80.85,8994420.0
1991-10-01,27.05,-80.6,8961292.0
1991-10-01,26.8,-80.6,8777428.0
1991-11-01,27.05,-81.1,7831746.0
1991-11-01,26.8,-81.1,7715634.0
1991-11-01,27.05,-80.85,7648018.0
1991-11-01,26.8,-80.85,7511042.0
1991-11-01,27.05,-80.6,7408370.0
1991-11-01,26.8,-80.6,7202754.0
1991-12-01,27.05,-81.1,7136684.0
1991-12-01,26.8,-81.1,7181148.0
1991-12-01,27.05,-80.85,6883452.0
1991-12-01,26.8,-80.85,6910076.0
1991-12-01,27.05,-80.6,6555276.0
1991-12-01,26.8,-80.6,6527788.0
1992-01-01,27.05,-81.1,7467245.0
1992-01-01,26.8,-81.1,7499475.0
1992-01-01,27.05,-80.85,7530705.0
1992-01-01,26.8,-80.85,7541453.0
