year,month,time_x,lat,lon,monthly_avg_tp,Rainfall_cm_0,Rainfall_cm_1,Rainfall_cm_2,Rainfall_cm_3,monthly_avg_observed,time_y,obs_Rainfall_mm,Forecast_Rainfall_mm
1990,1,1990-01-01,26.925,-80.85,0.0005484062766666667,,,0.09586451612903225,,0.09586451612903225,1990-01-16 00:00:00,0.9586451612903225,0.5484062766666666
1990,2,1990-02-01,26.925,-80.85,0.00102242191,,,0.09343571428571429,,0.09343571428571429,1990-02-14 12:00:00,0.9343571428571429,1.02242191
1990,3,1990-03-01,26.925,-80.85,0.0011791791833333334,,,0.20489333333333332,,0.20489333333333332,1990-03-16 00:00:00,2.0489333333333333,1.1791791833333334
1990,4,1990-04-01,26.925,-80.85,0.0015557721166666665,,,,0.0,0.0,1990-04-15 12:00:00,0.0,1.5557721166666665
1990,5,1990-05-01,26.925,-80.85,0.002160827,,,,0.0,0.0,1990-05-16 00:00:00,0.0,2.1608270000000003
1990,6,1990-06-01,26.925,-80.85,0.0037070090833333335,,0.0037629629629629627,0.0,0.0,0.0037629629629629627,1990-06-15 12:00:00,0.037629629629629624,3.7070090833333333
1990,7,1990-07-01,26.925,-80.85,0.0034043412333333335,,0.08607777777777778,0.0,0.2455333333333333,0.06773333333333333,1990-07-16 00:00:00,0.6773333333333332,3.4043412333333336
1990,8,1990-08-01,26.925,-80.85,0.0047473948,,0.26035,0.3064387096774193,0.3457677419354839,0.32801505376344087,1990-08-16 00:00:00,3.280150537634409,4.7473947999999995
1990,9,1990-09-01,26.925,-80.85,0.00268232755,,,0.15070666666666668,0.14139333333333334,0.14604999999999999,1990-09-15 12:00:00,1.4605,2.68232755
1990,10,1990-10-01,26.925,-80.85,0.00258400275,,0.0127,0.14994193548387097,0.2982451612903226,0.2236838709677419,1990-10-16 00:00:00,2.2368387096774187,2.5840027500000002
1990,11,1990-11-01,26.925,-80.85,0.0006010539383333333,,0.08551333333333333,0.03217333333333334,0.08128,0.0663222222222222,1990-11-15 12:00:00,0.6632222222222219,0.6010539383333333
1990,12,1990-12-01,26.925,-80.85,0.00042755715833333333,,0.06063225806451614,0.8328526315789474,0.045064516129032256,0.2186311827956989,1990-12-16 00:00:00,2.186311827956989,0.42755715833333335
1991,1,1991-01-01,26.925,-80.85,0.0026598894,,0.07478888888888889,0.4969565217391305,0.3318387096774193,0.35505376344086026,1991-01-16 00:00:00,3.5505376344086024,2.6598894
1991,2,1991-02-01,26.925,-80.85,0.0024322702166666666,,0.1496785714285714,0.03386666666666667,1.5102416666666667,0.7207250000000001,1991-02-14 12:00:00,7.20725,2.4322702166666668
1991,3,1991-03-01,26.925,-80.85,0.0021585549833333336,,0.12044516129032258,0.7910285714285714,0.581741935483871,0.510594623655914,1991-03-16 00:00:00,5.10594623655914,2.1585549833333335
1991,4,1991-04-01,26.925,-80.85,0.0038883514166666664,,0.18703636363636367,0.38431304347826084,0.5088466666666667,0.40964555555555554,1991-04-15 12:00:00,4.096455555555555,3.8883514166666666
1991,5,1991-05-01,26.925,-80.85,0.0034732174333333334,,0.307258064516129,0.4539225806451613,0.3154516129032258,0.3588774193548387,1991-05-16 00:00:00,3.588774193548387,3.473217433333333
1991,6,1991-06-01,26.925,-80.85,0.004778158983333333,,0.5607538461538462,0.16425333333333333,0.3141133333333333,0.27657777777777776,1991-06-15 12:00:00,2.7657777777777777,4.778158983333333
1991,7,1991-07-01,26.925,-80.85,0.0056896297,,,0.693174193548387,0.868516129032258,0.7808451612903226,1991-07-16 00:00:00,7.808451612903226,5.689629699999999
1991,8,1991-08-01,26.925,-80.85,0.003628189066666667,,,0.3474064516129032,3.0160451612903225,1.681725806451613,1991-08-16 00:00:00,16.81725806451613,3.6281890666666667
1991,9,1991-09-01,26.925,-80.85,0.0028988573666666666,,,0.17653,12.70230909090909,3.5998150000000004,1991-09-15 12:00:00,35.99815,2.8988573666666664
1991,10,1991-10-01,26.925,-80.85,0.003014656466666667,,0.14647333333333332,0.3203677419354839,,0.26997741935483865,1991-10-16 00:00:00,2.6997741935483868,3.0146564666666666
1991,11,1991-11-01,26.925,-80.85,0.0007534745783333332,,0.08043333333333333,0.20743333333333336,,0.14393333333333333,1991-11-15 12:00:00,1.4393333333333334,0.7534745783333332
