time,lat,lon,10u,10v
1990-01-01,27.05,-81.1,-0.76869106,-0.18061447
1990-01-01,26.8,-81.1,-0.8787985,-0.25426865
1990-01-01,27.05,-80.85,-0.8991003,-0.31415176
1990-01-01,26.8,-80.85,-1.0249472,-0.38000488
1990-01-01,27.05,-80.6,-0.9907751,-0.19950104
1990-01-01,26.8,-80.6,-1.1262732,-0.26550293
1990-02-01,27.05,-81.1,-1.3953981,0.3904304
1990-02-01,26.8,-81.1,-1.4631929,0.3121223
1990-02-01,27.05,-80.85,-1.6307421,0.3642692
1990-02-01,26.8,-80.85,-1.7116518,0.27585977
1990-02-01,27.05,-80.6,-1.6615648,0.43633264
1990-02-01,26.8,-80.6,-1.75031,0.3667373
1990-03-01,27.05,-81.1,-2.0279894,-0.16885346
1990-03-01,26.8,-81.1,-2.0829973,-0.31871003
1990-03-01,27.05,-80.85,-2.3332262,-0.29839295
1990-03-01,26.8,-80.85,-2.3929873,-0.4452359
1990-03-01,27.05,-80.6,-2.4358797,-0.28123444
1990-03-01,26.8,-80.6,-2.4644442,-0.38383454
1990-04-01,27.05,-81.1,-1.4466476,-0.2576204
1990-04-01,26.8,-81.1,-1.4681778,-0.41918808
1990-04-01,27.05,-80.85,-1.5762749,-0.35689408
1990-04-01,26.8,-80.85,-1.6117172,-0.52648026
1990-04-01,27.05,-80.6,-1.5914421,-0.33328873
1990-04-01,26.8,-80.6,-1.6172829,-0.44741684
1990-05-01,27.05,-81.1,-1.2358027,0.9485116
1990-05-01,26.8,-81.1,-1.2321024,0.8083291
1990-05-01,27.05,-80.85,-1.3951044,1.1093774
1990-05-01,26.8,-80.85,-1.4077921,0.9342141
1990-05-01,27.05,-80.6,-1.3884668,1.1201577
1990-05-01,26.8,-80.6,-1.4141359,1.009768
1990-06-01,27.05,-81.1,-0.74564075,0.4614647
1990-06-01,26.8,-81.1,-0.7996912,0.43672258
1990-06-01,27.05,-80.85,-0.80245304,0.75996476
1990-06-01,26.8,-80.85,-0.87770176,0.6988991
1990-06-01,27.05,-80.6,-0.8282175,0.83699113
1990-06-01,26.8,-80.6,-0.8584719,0.81252366
1990-07-01,27.05,-81.1,-0.53675854,0.1875037
1990-07-01,26.8,-81.1,-0.5544454,0.130638
1990-07-01,27.05,-80.85,-0.57268155,0.3123511
1990-07-01,26.8,-80.85,-0.6060525,0.24071491
1990-07-01,27.05,-80.6,-0.6050035,0.36933124
1990-07-01,26.8,-80.6,-0.6192304,0.35560596
1990-08-01,27.05,-81.1,-0.07797301,0.40426052
1990-08-01,26.8,-81.1,-0.09405863,0.422037
1990-08-01,27.05,-80.85,-0.06020701,0.6703509
1990-08-01,26.8,-80.85,-0.086352944,0.66410244
1990-08-01,27.05,-80.6,-0.11732638,0.73732936
1990-08-01,26.8,-80.6,-0.1047045,0.752344
1990-09-01,27.05,-81.1,-1.3892689,-0.38694984
1990-09-01,26.8,-81.1,-1.3558216,-0.39007026
1990-09-01,27.05,-80.85,-1.6749821,-0.42140704
1990-09-01,26.8,-80.85,-1.6407032,-0.4229024
1990-09-01,27.05,-80.6,-1.7110081,-0.42601234
1990-09-01,26.8,-80.6,-1.6595402,-0.40621024
1990-10-01,27.05,-81.1,-1.5597591,-0.99470806
1990-10-01,26.8,-81.1,-1.5663586,-1.0332403
1990-10-01,27.05,-80.85,-1.9100933,-1.1243353
1990-10-01,26.8,-80.85,-1.909544,-1.1521292
1990-10-01,27.05,-80.6,-2.0121746,-1.0154715
1990-10-01,26.8,-80.6,-1.9744549,-1.0229864
1990-11-01,27.05,-81.1,-1.4079428,-1.2177811
1990-11-01,26.8,-81.1,-1.5321646,-1.335762
1990-11-01,27.05,-80.85,-1.6325445,-1.4893417
1990-11-01,26.8,-80.85,-1.7616415,-1.5918121
1990-11-01,27.05,-80.6,-1.7413397,-1.4252548
1990-11-01,26.8,-80.6,-1.8145514,-1.4977112
1990-12-01,27.05,-81.1,-1.725811,-0.2681991
1990-12-01,26.8,-81.1,-1.8168144,-0.38943017
1990-12-01,27.05,-80.85,-1.9862404,-0.37166893
1990-12-01,26.8,-80.85,-2.0743294,-0.48263466
1990-12-01,27.05,-80.6,-2.040638,-0.26385796
1990-12-01,26.8,-80.6,-2.1072273,-0.389804
1991-01-01,27.05,-81.1,-0.75693405,0.16636473
